14
14
1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110
1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110
1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110
1110	1110	1110	927	927	608	657	608	657	608	657	1110	1110	1110
1110	1110	1110	965	965	646	769	646	646	646	842	1110	1110	1110
1110	1110	1110	646	646	646	646	646	646	646	646	1110	1110	1110
1110	1110	1110	646	646	646	646	646	646	646	646	1110	1110	1110
1110	1110	1110	646	646	656	925	926	656	646	646	1110	1110	1110
1110	1110	1110	646	646	656	963	964	656	646	646	1110	1110	1110
1110	1110	1110	646	646	646	646	646	646	646	646	1110	1110	1110
1110	1110	1110	646	646	690	690	646	646	646	646	1110	1110	1110
1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110
1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110
1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110
