1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110
1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110
1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110
1110,1110,1110,750,930,931,608,608,657,608,657,1110,1110,1110
1110,1110,1110,830,968,969,646,646,646,646,804,1110,1110,1110
1110,1110,1110,646,646,646,646,646,646,646,646,1110,1110,1110
1110,1110,1110,646,646,646,646,646,646,646,646,1110,1110,1110
1110,1110,1110,646,646,646,769,646,646,646,646,1110,1110,1110
1110,1110,1110,646,646,646,807,646,646,646,646,1110,1110,1110
1110,1110,1110,923,646,646,646,646,646,864,646,1110,1110,1110
1110,1110,1110,961,646,646,646,646,646,902,646,1110,1110,1110
1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110
1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110
1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110
