1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110
1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110
1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110
1110,1110,1110,928,928,608,1001,608,658,608,927,1110,1110,1110
1110,1110,1110,966,966,646,646,646,646,646,965,1110,1110,1110
1110,1110,1110,646,646,646,646,646,646,646,646,1110,1110,1110
1110,1110,1110,646,646,656,737,738,656,646,646,1110,1110,1110
1110,1110,1110,646,646,656,775,776,656,646,646,1110,1110,1110
1110,1110,1110,646,646,646,646,646,646,646,646,1110,1110,1110
1110,1110,1110,848,646,646,646,646,646,646,848,1110,1110,1110
1110,1110,1110,886,646,646,646,646,646,646,886,1110,1110,1110
1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110
1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110
1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110
